No.,ZnO-2,DC-01,DC-01T,ZnO-1,WS,PCZ-70,SL-7025,Hardness,MA10,MA100,MA300,permanent deformation
1#,,,,5.00 ,,10.00 ,,57.5,4.29,1.12,0.69,0.1578 
2#,5.00 ,,,,,10.00 ,,57.4,4.01,1.20,0.99,0.1622 
3#,,,,,,10.00 ,,57.4,4.06,1.22,1.00,0.1099 
4#,,1.00 ,,5.00 ,,10.00 ,,60.6,4.61,1.39,1.07,0.1316 
5#,5.00 ,1.00 ,,,,10.00 ,,60.7,4.82,1.47,1.07,0.1351 
6#,,,,5.00 ,,,10.00 ,67.5,6.43,1.73,1.42,0.1512 
7#,5.00 ,,,,,,10.00 ,65.0,5.86,1.54,1.21,0.1621 
8#,,,,,,,10.00 ,68.0,6.79,1.80,1.43,0.1600 
9#,,1.00 ,,5.00 ,,,10.00 ,70.5,7.82,1.65,1.15,0.2141 
10#,5.00 ,1.00 ,,,,,10.00 ,70.8,7.84,1.64,1.03,0.2365 
11#,,,,5.00 ,10.00 ,,,61.9,4.81,1.68,1.65,0.1010 
12#,5.00 ,,,,10.00 ,,,62.1,4.86,1.76,1.77,0.1036 
13#,,,,,10.00 ,,,62.3,4.88,1.80,1.79,0.1123 
14#,,1.00 ,,5.00 ,10.00 ,,,62.9,5.07,1.65,1.43,0.1339 
15#,5.00 ,1.00 ,,,10.00 ,,,66.5,6.11,1.96,1.63,0.1314 
16#,,1.00 ,,,,10.00 ,,61.5,5.57,1.27,0.75,0.2047 
17#,,,1.00 ,5.00 ,,10.00 ,,60.6,4.74,1.19,0.83,0.1709 
18#,5.00 ,,1.00 ,,,10.00 ,,59.3,4.96,1.32,0.91,0.1795 
19#,,,1.00 ,,,10.00 ,,59.0,4.90,1.19,0.80,0.1825 
20#,,1.00 ,,,,,10.00 ,69.9,8.23,1.58,1.01,0.2417 
21#,,,1.00 ,5.00 ,,,10.00 ,70.4,7.98,1.55,1.00,0.2453 
22#,5.00 ,,1.00 ,,,,10.00 ,70.1,8.08,1.57,0.99,0.2470 
23#,,,1.00 ,,,,10.00 ,69.9,7.94,1.47,0.90,0.2505 
24#,,1.00 ,,,10.00 ,,,64.7,5.84,1.64,1.37,0.1601 
25#,,,1.00 ,5.00 ,10.00 ,,,73.0,7.91,2.17,1.43,0.2108 
26#,5.00 ,,1.00 ,,10.00 ,,,63.9,6.12,1.70,1.37,0.1731 
27#,,,1.00 ,,10.00 ,,,64.7,5.97,1.67,1.41,0.1612 
28#,2.50 ,,1.00 ,2.50 ,,10.00 ,,60.4,4.79,1.32,0.93,0.1761 
29#,2.50 ,,1.00 ,2.50 ,,,10.00 ,69.8,8.21,1.56,0.96,0.2378 
30#,2.50 ,,1.00 ,2.50 ,10.00 ,,,64.9,6.03,1.71,1.41,0.1645 
31#,,,1.00 ,2.50 ,,10.00 ,,58.9,4.68,1.22,0.84,0.1864 
32#,,,1.00 ,2.50 ,,,10.00 ,68.8,7.78,1.50,0.97,0.2398 
33#,,,1.00 ,2.50 ,10.00 ,,,63.6,5.72,1.57,1.30,0.1666 
34#,,,,5.00 ,,14.29 ,,57.06,4.11,1.29,1.12,0.1328 
35#,5.00 ,,,,,14.29 ,,57.44,4.17,1.30,1.22,0.1280 
36#,,,,,,14.29 ,,55.82,3.74,1.16,1.01,0.1397 
37#,,1.00 ,,5.00 ,,14.29 ,,59.92,4.91,1.37,1.10,0.1601 
38#,5.00 ,1.00 ,,,,14.29 ,,64.46,5.97,1.69,1.12,0.1709 
