omega	Err_Function
0.1	1.4993E-4
0.101	1.4081E-4
0.102	1.3198E-4
0.103	1.2358E-4
0.104	1.1561E-4
0.105	1.0776E-4
0.106	1.0031E-4
0.107	9.313E-5
0.108	8.634E-5
0.109	7.968E-5
0.11	7.352E-5
0.111	6.761E-5
0.112	6.205E-5
0.113	5.662E-5
0.114	5.153E-5
0.115	4.678E-5
0.116	4.216E-5
0.117	3.786E-5
0.118	3.38E-5
0.119	3.012E-5
0.12	2.649E-5
0.121	2.324E-5
0.122	2.019E-5
0.123	1.741E-5
0.124	1.479E-5
0.125	1.237E-5
0.126	1.027E-5
0.127	8.36E-6
0.128	6.64E-6
0.129	5.15E-6
0.13	3.83E-6
0.131	2.72E-6
0.132	1.82E-6
0.133	1.12E-6
0.134	5.9E-7
0.135	2.6E-7
0.136	1.1E-7
0.137	1.3E-7
0.138	3.5E-7
0.139	7.2E-7
0.14	1.28E-6
0.141	1.95E-6
0.142	2.85E-6
0.143	3.85E-6
0.144	5.07E-6
0.145	6.41E-6
0.146	7.91E-6
0.147	9.55E-6
0.148	1.128E-5
0.149	1.325E-5
0.15	1.527E-5
0.151	1.745E-5
0.152	1.978E-5
0.153	2.225E-5
0.154	2.488E-5
0.155	2.766E-5
0.156	3.043E-5
0.157	3.334E-5
0.158	3.649E-5
0.159	3.969E-5
0.16	4.293E-5
0.161	4.641E-5
0.162	4.993E-5
0.163	5.358E-5
0.164	5.738E-5
0.165	6.12E-5
0.166	6.516E-5
0.167	6.924E-5
0.168	7.321E-5
0.169	7.756E-5
0.17	8.177E-5
0.171	8.638E-5
0.172	9.086E-5
0.173	9.544E-5
0.174	1.0003E-4
0.175	1.0487E-4
0.176	1.0968E-4
0.177	1.1461E-4
0.178	1.1951E-4
0.179	1.2469E-4
0.18	1.2982E-4
0.181	1.3506E-4
0.182	1.4042E-4
0.183	1.4572E-4
0.184	1.5114E-4
0.185	1.5684E-4
0.186	1.623E-4
0.187	1.6787E-4
0.188	1.7355E-4
0.189	1.7933E-4
0.19	1.8522E-4
0.191	1.9102E-4
0.192	1.9713E-4
0.193	2.0293E-4
0.194	2.0925E-4
0.195	2.1527E-4
0.196	2.2138E-4
0.197	2.2759E-4
0.198	2.339E-4
0.199	2.401E-4
0.2	2.4662E-4
