n omega Err_Function
0 .100 .00014993
1 .101 .00014081
2 .102 .00013198
3 .103 .00012358
4 .104 .00011561
5 .105 .00010776
6 .106 .00010031
7 .107 .00009313
8 .108 .00008634
9 .109 .00007968
10 .110 .00007352
11 .111 .00006761
12 .112 .00006205
13 .113 .00005662
14 .114 .00005153
15 .115 .00004678
16 .116 .00004216
17 .117 .00003786
18 .118 .00003380
19 .119 .00003012
20 .120 .00002649
21 .121 .00002324
22 .122 .00002019
23 .123 .00001741
24 .124 .00001479
25 .125 .00001237
26 .126 .00001027
27 .127 .00000836
28 .128 .00000664
29 .129 .00000515
30 .130 .00000383
31 .131 .00000272
32 .132 .00000182
33 .133 .00000112
34 .134 .00000059
35 .135 .00000026
36 .136 .00000011
37 .137 .00000013
38 .138 .00000035
39 .139 .00000072
40 .140 .00000128
41 .141 .00000195
42 .142 .00000285
43 .143 .00000385
44 .144 .00000507
45 .145 .00000641
46 .146 .00000791
47 .147 .00000955
48 .148 .00001128
49 .149 .00001325
50 .150 .00001527
51 .151 .00001745
52 .152 .00001978
53 .153 .00002225
54 .154 .00002488
55 .155 .00002766
56 .156 .00003043
57 .157 .00003334
58 .158 .00003649
59 .159 .00003969
60 .160 .00004293
61 .161 .00004641
62 .162 .00004993
63 .163 .00005358
64 .164 .00005738
65 .165 .00006120
66 .166 .00006516
67 .167 .00006924
68 .168 .00007321
69 .169 .00007756
70 .170 .00008177
71 .171 .00008638
72 .172 .00009086
73 .173 .00009544
74 .174 .00010003
75 .175 .00010487
76 .176 .00010968
77 .177 .00011461
78 .178 .00011951
79 .179 .00012469
80 .180 .00012982
81 .181 .00013506
82 .182 .00014042
83 .183 .00014572
84 .184 .00015114
85 .185 .00015684
86 .186 .00016230
87 .187 .00016787
88 .188 .00017355
89 .189 .00017933
90 .190 .00018522
91 .191 .00019102
92 .192 .00019713
93 .193 .00020293
94 .194 .00020925
95 .195 .00021527
96 .196 .00022138
97 .197 .00022759
98 .198 .00023390
99 .199 .00024010
100 .200 .00024662
